
RECORDING STARTED
Push robot forward, then release.
Let it oscillate until it settles.

time_ms,pitch,pitchRate,angularAccel,accelPitch
654,-9.090,-18.909,337.891,-2.635
658,-9.040,-19.115,-46.295,-2.459
662,-8.980,-17.726,313.473,-2.162
667,-8.945,-19.986,-505.264,-2.851
671,-8.898,-19.077,202.226,-2.393
676,-8.857,-22.375,-738.073,-1.968
680,-8.813,-19.757,583.405,-2.308
684,-8.770,-20.337,-129.962,-2.199
689,-8.719,-19.222,248.773,-2.003
694,-8.648,-18.123,246.245,-1.204
698,-8.607,-24.077,-1329.062,-1.334
703,-8.528,-19.360,1040.943,-0.364
707,-8.459,-19.650,-64.290,-0.724
712,-8.401,-17.573,468.065,-1.754
716,-8.340,-18.054,-107.636,-1.360
720,-8.264,-19.268,-271.166,-0.308
725,-8.175,-18.390,196.126,0.195
729,-8.123,-21.864,-781.567,-0.813
733,-8.040,-19.909,434.653,0.422
739,-7.943,-15.192,1062.513,0.085
743,-7.873,-20.184,-1106.464,0.028
748,-7.786,-18.047,471.625,0.504
752,-7.707,-20.154,-472.816,0.563
756,-7.655,-21.673,-339.081,-0.363
761,-7.580,-18.459,717.353,0.138
765,-7.518,-22.016,-797.590,0.363
769,-7.437,-18.207,851.019,0.528
774,-7.375,-18.825,-138.761,-0.221
779,-7.301,-17.948,196.478,0.248
784,-7.237,-19.039,-245.635,0.028
788,-7.139,-15.688,752.052,1.079
792,-7.072,-18.329,-592.202,0.220
797,-6.993,-19.886,-350.101,1.224
801,-6.907,-18.291,356.757,1.310
805,-6.830,-17.703,131.437,0.843
810,-6.727,-15.062,594.334,1.574
814,-6.656,-15.192,-29.071,0.169
818,-6.571,-16.848,-374.094,1.230
824,-6.479,-15.780,238.976,1.518
828,-6.377,-15.245,120.133,1.899
832,-6.320,-17.978,-613.291,0.417
837,-6.265,-19.352,-307.255,0.670
841,-6.191,-15.016,966.967,0.755
845,-6.126,-15.146,-29.123,0.335
850,-6.065,-17.276,-480.544,0.689
854,-5.995,-18.260,-220.003,1.448
859,-5.928,-15.909,527.636,0.811
864,-5.854,-13.444,553.332,0.699
868,-5.783,-17.245,-852.360,1.457
873,-5.712,-15.031,494.580,1.108
877,-5.634,-14.474,125.169,1.309
881,-5.569,-17.558,-690.854,1.452
886,-5.489,-16.215,300.159,2.021
890,-5.412,-14.177,455.355,1.464
894,-5.318,-11.573,582.599,1.792
899,-5.222,-11.680,-23.940,2.072
903,-5.157,-15.688,-902.620,1.437
908,-5.076,-14.146,345.427,2.001
913,-4.993,-13.780,82.229,2.087
917,-4.924,-14.253,-107.175,1.520
921,-4.841,-14.543,-64.923,2.392
926,-4.753,-12.215,525.326,2.218
930,-4.658,-11.314,201.063,2.466
935,-4.557,-11.108,46.254,2.846
939,-4.469,-13.703,-587.731,2.793
943,-4.378,-10.535,707.129,2.406
948,-4.295,-12.031,-335.467,2.395
953,-4.212,-13.680,-367.720,2.884
957,-4.122,-11.596,467.258,2.804
962,-4.029,-10.764,186.728,2.888
966,-3.928,-11.665,-202.146,3.564
970,-3.830,-13.070,-315.494,3.824
975,-3.724,-12.673,89.161,4.223
979,-3.611,-11.352,298.511,4.388
983,-3.506,-10.238,250.338,3.897
988,-3.403,-11.932,-381.336,4.247
993,-3.300,-6.291,1260.326,3.119
