2.413
966827,2.693,-0.882,3.488,2.560
966832,2.692,-0.271,2.696,2.651
966836,2.682,-0.615,2.336,2.590
966840,2.686,1.446,2.574,2.903
966845,2.694,2.523,2.552,3.073
966849,2.692,0.080,2.577,2.704
966853,2.700,0.148,3.044,2.722
966857,2.705,2.080,2.477,3.016
966862,2.681,-1.050,1.731,2.523
966866,2.692,3.774,2.410,3.258
966871,2.678,-2.607,2.581,2.287
966876,2.663,-0.981,2.144,2.516
966880,2.657,0.828,2.162,2.781
966884,2.653,1.263,2.229,2.843
966889,2.648,-0.684,2.515,2.545
966893,2.661,2.713,2.720,3.068
966897,2.665,-1.371,3.155,2.459
966902,2.656,-0.951,2.404,2.513
966906,2.655,-0.386,2.697,2.597
966910,2.661,1.622,2.609,2.904
966916,2.662,-2.707,3.297,2.256
966920,2.658,-1.729,2.837,2.398
966924,2.661,1.293,2.531,2.855
966929,2.649,-1.378,2.375,2.442
966933,2.642,1.118,2.057,2.810
966937,2.634,1.355,1.912,2.837
966942,2.623,-1.424,2.393,2.409
966946,2.633,2.339,2.628,2.984
966950,2.642,0.370,2.997,2.697
966956,2.652,1.293,2.862,2.846
966960,2.647,-1.485,2.745,2.424
966964,2.643,0.752,2.280,2.756
966969,2.630,-0.936,2.193,2.490
966973,2.628,-0.325,2.595,2.579
966977,2.644,3.820,2.589,3.217
966982,2.656,0.141,3.254,2.678
966986,2.663,1.805,2.585,2.934
966990,2.678,2.210,2.948,3.010
966995,2.696,1.545,3.240,2.928
967000,2.711,2.889,2.815,3.144
967004,2.701,-2.584,2.744,2.313
967009,2.699,-0.325,2.690,2.650
967013,2.693,-1.890,2.830,2.410
967017,2.709,1.179,3.234,2.886
967022,2.704,-0.668,2.611,2.604
967026,2.683,-1.523,1.994,2.455
967030,2.683,-1.027,2.858,2.528
967035,2.694,0.240,3.221,2.730
967040,2.701,1.324,2.729,2.899
967044,2.690,-0.539,2.282,2.609
967049,2.694,2.584,2.334,3.082
967053,2.693,-0.676,2.803,2.592
967057,2.682,-1.264,2.378,2.492
967062,2.680,-0.554,2.746,2.597
967066,2.698,2.820,2.948,3.121
967070,2.712,2.057,2.923,3.020
967075,2.720,2.797,2.513,3.139
967079,2.731,2.393,2.772,3.090
967084,2.734,0.729,2.734,2.844
967089,2.747,2.461,2.834,3.116
967093,2.754,2.301,2.573,3.099
967097,2.759,1.011,2.782,2.910
967102,2.755,-0.004,2.567,2.754
967106,2.750,0.003,2.534,2.751
967110,2.741,-1.546,2.639,2.509
967115,2.739,-2.416,3.129,2.376
967119,2.766,3.706,3.306,3.322
967123,2.771,1.080,2.794,2.933
967129,2.772,0.416,2.697,2.834
967133,2.780,2.339,2.674,3.131
967137,2.765,-0.287,2.111,2.722
967142,2.761,-1.554,2.902,2.528
967146,2.773,2.293,2.851,3.117
967150,2.770,0.858,2.407,2.898
967154,2.760,-2.195,2.752,2.430
967159,2.742,-2.836,2.474,2.316
967163,2.752,2.278,2.777,3.094
967168,2.757,0.087,2.961,2.770
967173,2.737,-0.119,1.771,2.719
967177,2.731,2.049,2.016,3.038
967181,2.726,-0.386,2.566,2.668
967186,2.726,0.614,2.568,2.818
967190,2.742,1.981,3.135,3.039
967194,2.748,0.477,2.925,2.820
967199,2.736,-1.790,2.508,2.467
967203,2.737,-0.844,2.967,2.610
967207,2.710,-1.897,1.812,2.425
967213,2.711,0.103,2.749,2.726
967217,2.718,-0.165,3.093,2.693
967221,2.719,0.675,2.627,2.820
967226,2.729,0.576,3.110,2.816
967230,2.741,0.835,3.110,2.866
967234,2.735,0.011,2.436,2.736
967239,2.727,0.484,2.253,2.800
967243,2.735,0.087,3.111,2.748
967247,2.742,-0.783,3.242,2.624
967252,2.745,0.538,2.772,2.825
967257,2.752,1.721,2.742,3.010
967261,2.751,-1.890,3.122,2.468
967266,2.756,-0.813,3.164,2.634
967270,2.751,-3.355,3.230,2.248
967274,2.753,1.576,2.492,2.989
967279,2.741,0.629,2.051,2.836
967283,2.751,1.210,2.951,2.932
967287,2.742,-2.630,2.878,2.347
967292,2.742,-0.462,2.858,2.673
967297,2.762,2.080,3.279,3.074
967301,2.748,-0.852,2.242,2.620
967306,2.743,-1.165,2.732,2.568
967310,2.737,-0.332,2.556,2.687
967314,2.739,0.316,2.761,2.787
967319,2.729,-1.539,2.571,2.498
967323,2.730,0.820,2.605,2.853
967327,2.732,1.759,2.437,2.996
967332,2.728,1.103,2.275,2.893
967336,2.708,-3.722,2.550,2.150
967341,2.703,0.187,2.414,2.731
967346,2.716,2.813,2.725,3.137
967350,2.715,1.889,2.275,2.998
967354,2.715,-2.561,3.248,2.330
967359,2.713,-0.951,2.862,2.571
967363,2.738,3.744,3.130,3.300
967367,2.722,-2.737,2.501,2.311
967372,2.731,1.668,2.844,2.981
967376,2.724,0.210,2.312,2.755
967380,2.714,-0.317,2.323,2.667
967385,2.725,2.897,2.640,3.160
967390,2.746,1.446,3.448,2.963
967394,2.753,1.858,2.685,3.032
967398,2.737,-1.279,2.237,2.545
967403,2.741,-1.645,3.286,2.494
967407,2.783,5.057,3.756,3.542
967411,2.775,-2.424,2.920,2.412
967416,2.760,-1.821,2.377,2.486
967420,2.762,2.423,2.380,3.126
967425,2.757,-2.012,2.936,2.455
967430,2.767,1.377,2.933,2.973
967434,2.784,2.958,2.985,3.228
967438,2.787,0.645,2.811,2.884
967443,2.776,-1.493,2.567,2.553
967447,2.791,3.584,2.716,3.328
967451,2.801,3.072,2.635,3.262
967456,2.813,1.385,3.111,3.021
967460,2.806,-0.829,2.633,2.682
967464,2.811,-1.218,3.317,2.628
967470,2.804,0.003,2.438,2.804
967474,2.819,1.156,3.320,2.992
967478,2.796,-2.218,2.143,2.463
967483,2.806,0.790,3.127,2.924
967487,2.787,-2.714,2.439,2.380
967491,2.754,-2.584,1.709,2.366
967496,2.768,2.080,3.011,3.080
967500,2.765,-0.287,2.656,2.722
967504,2.756,-1.310,2.599,2.559
967510,2.767,1.736,2.926,3.027
967514,2.771,-1.042,3.206,2.614
967518,2.777,-0.111,3.081,2.760
